1982/328   rh    esh  clong  clat crot    np1     vp1     Tp1   vaz   vel     Bx     By     Bz  sBx  sBy  sBz   nal   val     Tal   np2   vp2     Tp2
hh:mm:ss [AU]  [deg]  [deg] [deg]    # [cm-3]  [km/s]     [K] [deg] [deg]   [nT]   [nT]   [nT] [nT] [nT] [nT][cm-3][km/s]     [K][cm-3][km/s]     [K]
18:56:26 0.74  61.51  70.78 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 85.04 615.4  44374.
18:57:06 0.74  61.51  70.77 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 89.44 619.9  36506.
18:57:47 0.74  61.51  70.76 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 42.93 629.1  45599.
18:58:27 0.74  61.51  70.76 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.52 635.2  39800.
18:59:08 0.74  61.51  70.75 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 36.92 611.2  36383.
18:59:48 0.74  61.51  70.75 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.82 624.5  36289.
19:00:29 0.74  61.51  70.74 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 33.65 620.8  36958.
19:01:09 0.74  61.51  70.73 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.04 622.3  32559.
19:01:50 0.74  61.51  70.73 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.75 618.9  34346.
19:02:30 0.74  61.51  70.72 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.75 614.6  41925.
19:03:11 0.74  61.51  70.71 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 30.74 614.8  39917.
19:03:50 0.74  61.51  70.71 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 28.77 615.1  41856.
19:04:31 0.74  61.51  70.70 -5.34 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 35.94 615.9  33888.
21:15:19 0.74  61.53  69.53 -5.35 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.76 639.8  39134.
21:58:31 0.74  61.54  69.14 -5.36 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1. 34.24 641.0  48659.
22:41:43 0.74  61.55  68.75 -5.36 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  4.82 587.5  53603.
23:24:55 0.74  61.55  68.36 -5.36 1728  -1.00    -1.0     -1. -1.00 -1.00   0.00   0.00   0.00 0.00 0.00 0.00 -1.00  -1.0     -1.  3.71 515.0  58937.
